	A Secure Computation Framework for Software Defined Networks	Nachikethas A. Jagadeesan; Ranjan Pal; Kaushik Nadikuditi; Yan Huang; Minlan Yu; Elaine Shi	
	Enforcing RPKI-Based Routing Policy on the Data Plane at an Internet Exchange	Josh Bailey; Dean Pemberton; Andy Linton; Cristel Pelsser; Randy Bush	
	Flow-Based Load Balancing in Multipathed Layer-2 Networks using OpenFlow and Multipath TCP	Michael Bredel; Zdravko Bozakov; Artur Barczyk; Harvey Newman	
	SDLoad: An extensible framework for SDN workload generation	Nicolas Laurent; Stefano Vissicchio; Marco Canini	
	AeroFlux: A Near-Sighted Controller Architecture for Software-Defined Wireless Networks	Julius Schulz-Zander; Nadi Sarrar; Stefan Schmid	
	Access Control for SDN Controllers	Felix Klaedtke; Ghassan Karame; Roberto Bifulco; Heng Cui	
	Generating Consistent Updates for Software-Defined Network Configurations	Yifei Yuan; Franjo Ivancic; Cristian Lumezanu; Shuyuan Zhang; Aarti Gupta	
	Towards a Novel and Optimal Packet Identifier Design for SDN	Michael O'Neill; Andrew Wells; Xin Sun	
	OFf: Bugspray for Openflow	Ramakrishnan Durairajan; Joel Sommers; Paul Barford	
	SOLuTIoN: SDN-based OpticaL TraffIc steering for NFV	Ming Xia; Meral Shirazipour; Ying Zhang; Howard Green; Attila Takacs	
	A Cross-Layer SDN Control Plane for Optical Multicast-Featured Datacenters	Yiting Xia; T. S. Eugene Ng	
	NetRevert: Rollback Recovery in SDN	Ying Zhang; Neda Beheshti; Ravi Manghirmalani	
	Ranges and Cross-Entrance Consistency with OpenFlow	Yehuda Afek; Anat Bremler-Barr; Liron Schiff	
	Tolerating SDN Application Failures with LegoSDN.	Balakrishnan Chandrasekaran; Theophilus Benson	
	RadioVisor: A Slicing Plane for Radio Access Networks	Aditya Gudipati; Li Erran Li; Sachin Katti	
	A Programmable and Scalable OpenFlow Switch using Heterogeneous SoC Platforms	Shijie Zhou; Weirong Jiang; Viktor K. Prasanna	
